time,reference,position,measured_distance,error,velocity_control
4.48,-50,166.5,-26,-24,-49.06,
4.5,-50,165.8,-26,-24,-50.015,
4.52,-50,164.37,-25,-25,-51.96,
4.54,-50,163.64,-25,-25,-52.648,
4.56,-50,162.66,-26,-24,-51.141,
4.58,-50,161.2,-26,-24,-50.385,
4.6,-50,160.46,-27,-23,-48.388,
4.62,-50,159.73,-27,-23,-47.564,
4.64,-50,157.99,-26,-24,-48.929,
4.66,-50,157.24,-26,-24,-49.561,
4.68,-50,156.48,-26,-24,-49.828,
4.7,-50,154.72,-27,-23,-48.288,
4.72,-50,153.96,-24,-26,-52.546,
4.74,-50,153.21,-27,-23,-49.405,
4.76,-50,151.73,-28,-22,-46.373,
4.78,-50,150.74,-27,-23,-46.801,
4.8,-50,150.01,-28,-22,-45.471,
4.82,-50,148.53,-26,-24,-48.29,
4.84,-50,147.79,-26,-24,-49.547,
4.86,-50,146.81,-27,-23,-48.409,
4.88,-50,145.34,-27,-23,-47.891,
4.9,-50,144.61,-27,-23,-47.68,
4.92,-50,143.89,-25,-25,-50.879,
4.94,-50,142.22,-24,-26,-53.826,
4.96,-50,141.5,-27,-23,-50.008,
4.98,-50,140.79,-24,-26,-53.17,
5,-50,139.11,-25,-25,-52.802,
5.02,-50,138.38,-23,-27,-55.789,
5.04,-50,137.64,-23,-27,-56.904,
5.06,-50,136.15,-23,-27,-57.167,
5.08,-50,135.14,-24,-26,-55.447,
5.1,-50,134.37,-22,-28,-57.857,
5.12,-50,132.8,-23,-27,-57.132,
5.14,-50,132,-24,-26,-55.063,
5.16,-50,130.92,-22,-28,-57.408,
5.18,-50,129.27,-22,-28,-58.365,
5.2,-50,128.44,-23,-27,-57.036,
5.22,-50,127.59,-24,-26,-54.764,
5.24,-50,125.61,-22,-28,-57.085,
5.26,-50,124.76,-24,-26,-54.818,
5.28,-50,123.9,-24,-26,-53.865,
5.3,-50,121.91,-22,-28,-56.804,
5.32,-50,121.06,-26,-24,-51.538,
5.34,-50,120.21,-24,-26,-52.632,
5.36,-50,118.53,-26,-24,-49.972,
5.38,-50,117.41,-26,-24,-48.989,
5.4,-50,116.58,-26,-24,-48.766,
5.42,-50,114.93,-24,-26,-52.12,
5.44,-50,114.12,-26,-24,-50.355,
5.46,-50,113.04,-25,-25,-51.266,
5.48,-50,111.46,-28,-22,-46.793,
5.5,-50,110.68,-27,-23,-46.635,
5.52,-50,109.91,-29,-21,-43.487,
5.54,-50,108.14,-27,-23,-45.636,
5.56,-50,107.39,-28,-22,-45.112,
5.58,-50,106.64,-32,-18,-38.478,
5.6,-50,104.91,-30,-20,-39.177,
5.62,-50,104.18,-34,-16,-33.268,
5.64,-50,103.46,-34,-16,-31.131,
5.66,-50,102.07,-34,-16,-30.694,
5.68,-50,101.18,-35,-15,-29.305,
5.7,-50,100.53,-38,-12,-24.197,
5.72,-50,99.29,-39,-11,-20.838,
5.74,-50,98.704,-36,-14,-24.848,
5.76,-50,97.959,-40,-10,-20.431,
5.78,-50,96.925,-42,-8,-15.626,
5.8,-50,96.447,-42,-8,-14.053,
5.82,-50,95.992,-45,-5,-8.9941,
5.84,-50,95.02,-45,-5,-7.3943,
5.86,-50,94.64,-49,-1,-0.76206,
5.88,-50,93.948,-49,-1,1.4154,
5.9,-50,93.539,-53,3,8.1744,
5.92,-50,93.021,-57,7,16.829,
5.94,-50,92.809,-62,12,27.744,
5.96,-50,92.454,-65,15,36.119,
5.98,-50,92.365,-68,18,43.237,
6,-50,92.316,-68,18,44.858,
6.02,-50,92.365,-74,24,54.042,
6.04,-50,92.705,-75,25,58.305,
6.06,-50,92.962,-80,30,66.979,
6.08,-50,93.69,-81,31,70.981,
6.1,-50,94.334,-82,32,72.992,
6.12,-50,95.526,-87,37,80.831,
6.14,-50,96.216,-88,38,84.64,
6.16,-50,98.052,-89,39,86.721,
6.18,-50,98.929,-94,44,94.712,
6.2,-50,100.84,-96,46,100.31,
6.22,-50,101.87,-98,48,104.82,
6.24,-50,104.44,-100,50,108.88,
6.26,-50,105.62,-102,52,112.79,
6.28,-50,108.11,-101,51,111.79,
6.3,-50,109.87,-104,54,115.37,
6.32,-50,112.68,-105,55,117.77,
6.34,-50,114.15,-105,55,118.05,
6.36,-50,117.75,-106,56,119.17,
6.38,-50,119.35,-103,53,114.19,
6.4,-50,122.65,-102,52,110.1,
6.42,-50,124.33,-104,54,111.54,
6.44,-50,128.33,-106,56,115.42,
6.46,-50,130.06,-102,52,110.41,
6.48,-50,133.54,-103,53,109.84,
6.5,-50,135.86,-99,49,103.13,
6.52,-50,139.3,-104,54,108.65,
6.54,-50,141.01,-100,50,104.65,
6.56,-50,144.95,-95,45,94.903,
6.58,-50,146.62,-91,41,84.62,
6.6,-50,149.92,-90,40,79.36,
6.62,-50,151.55,-87,37,73.151,
6.64,-50,155.28,-86,36,69.865,
6.66,-50,156.84,-82,32,62.925,
6.68,-50,159.84,-81,31,59.351,
6.7,-50,161.73,-77,27,52.329,
6.72,-50,164.38,-77,27,50.394,
6.74,-50,165.61,-77,27,50.601,
6.76,-50,168.25,-73,23,45.011,
6.78,-50,169.3,-69,19,36.901,
6.8,-50,171.24,-68,18,32.753,
6.82,-50,172.15,-66,16,28.73,
6.84,-50,174.11,-67,17,29.631,
6.86,-50,174.9,-65,15,27.593,
6.88,-50,176.35,-66,16,29.059,
6.9,-50,177.23,-62,12,23.717,
6.92,-50,178.42,-62,12,21.984,
6.94,-50,178.95,-59,9,16.927,
6.96,-50,180.09,-62,12,20.287,
6.98,-50,180.53,-57,7,14.069,
7,-50,181.37,-56,6,10.27,
7.02,-50,181.76,-53,3,4.3517,
7.04,-50,182.61,-51,1,-0.74583,
7.06,-50,182.94,-46,-4,-10.297,
7.08,-50,183.24,-45,-5,-15.049,
7.1,-50,183.85,-39,-11,-25.813,
7.12,-50,184.06,-38,-12,-30.844,
7.14,-50,184.24,-36,-14,-34.972,
7.16,-50,184.46,-35,-15,-37.145,
7.18,-50,184.5,-32,-18,-41.865,
7.2,-50,184.45,-30,-20,-46.11,
7.22,-50,184.16,-31,-19,-45.269,
7.24,-50,183.92,-27,-23,-50.566,
7.26,-50,183.49,-26,-24,-53.653,
7.28,-50,182.65,-25,-25,-55.783,
7.3,-50,182.15,-23,-27,-59.193,
7.32,-50,181.6,-21,-29,-63.183,
7.34,-50,180.17,-21,-29,-64.14,
7.36,-50,179.49,-20,-30,-65.485,
7.38,-50,178.79,-21,-29,-63.821,
7.4,-50,177.02,-19,-31,-65.907,
7.42,-50,176.21,-18,-32,-68.041,
7.44,-50,175.36,-18,-32,-68.548,
7.46,-50,173.6,-18,-32,-68.39,
7.48,-50,172.38,-17,-33,-69.65,
7.5,-50,171.44,-18,-32,-68.284,
7.52,-50,169.52,-17,-33,-69.127,
7.54,-50,168.54,-17,-33,-69.328,
7.56,-50,167.22,-16,-34,-70.9,
7.58,-50,165.21,-17,-33,-69.779,
7.6,-50,164.2,-18,-32,-67.535,
7.62,-50,163.18,-18,-32,-66.548,
7.64,-50,160.77,-19,-31,-64.538,
7.66,-50,159.74,-19,-31,-63.783,
7.68,-50,158.7,-20,-30,-61.966,
7.7,-50,156.28,-19,-31,-62.993,
7.72,-50,155.25,-19,-31,-63.578,
7.74,-50,154.22,-20,-30,-62.277,
7.76,-50,152.19,-21,-29,-60.173,
7.78,-50,150.87,-22,-28,-57.785,
7.8,-50,149.89,-23,-27,-55.344,
7.82,-50,147.96,-23,-27,-54.576,
7.84,-50,147.01,-24,-26,-52.9,
7.86,-50,145.76,-22,-28,-55.733,
7.88,-50,143.91,-23,-27,-55.5,
7.9,-50,143,-25,-25,-52.236,
7.92,-50,142.1,-23,-27,-54.271,
7.94,-50,140.07,-25,-25,-52.02,
7.96,-50,139.22,-26,-24,-49.554,
7.98,-50,138.38,-25,-25,-50.341,
8,-50,136.45,-26,-24,-49.238,
8.02,-50,135.64,-25,-25,-50.566,
8.04,-50,134.82,-26,-24,-49.622,
8.06,-50,133.22,-27,-23,-47.679,
8.08,-50,132.16,-25,-25,-50.255,
8.1,-50,131.38,-24,-26,-53.077,
8.12,-50,129.83,-23,-27,-55.868,
8.14,-50,129.07,-25,-25,-53.633,
8.16,-50,128.07,-25,-25,-52.549,
8.18,-50,126.57,-23,-27,-55.319,
8.2,-50,125.82,-25,-25,-53.164,
8.22,-50,125.06,-25,-25,-52.184,
8.24,-50,123.27,-25,-25,-51.784,
8.26,-50,122.48,-23,-27,-54.923,
8.28,-50,121.69,-22,-28,-57.864,
8.3,-50,119.83,-23,-27,-57.33,
8.32,-50,119.04,-23,-27,-56.93,
8.34,-50,118.24,-23,-27,-56.644,
8.36,-50,116.63,-24,-26,-54.81,
8.38,-50,115.56,-23,-27,-55.647,
8.4,-50,114.74,-24,-26,-54.378,
8.42,-50,113.09,-21,-29,-58.754,
8.44,-50,112.25,-24,-26,-55.659,
8.46,-50,111.13,-23,-27,-55.907,
8.48,-50,109.44,-25,-25,-52.75,
8.5,-50,108.59,-23,-27,-54.742,
8.52,-50,107.75,-26,-24,-50.766,
8.54,-50,105.8,-26,-24,-49.182,
8.56,-50,104.97,-23,-27,-53.612,
8.58,-50,104.13,-23,-27,-55.595,
8.6,-50,102.2,-24,-26,-54.746,
8.62,-50,101.38,-22,-28,-57.582,
8.64,-50,100.57,-23,-27,-57.054,
8.66,-50,98.972,-21,-29,-59.968,
8.68,-50,97.913,-24,-26,-56.152,
8.7,-50,97.117,-23,-27,-56.061,
8.72,-50,95.507,-21,-29,-59.292,
8.74,-50,94.688,-23,-27,-57.331,
8.76,-50,93.58,-20,-30,-61.318,
8.78,-50,91.89,-22,-28,-59.638,
8.8,-50,91.036,-21,-29,-60.423,
8.82,-50,90.177,-24,-26,-55.767,
8.84,-50,88.162,-21,-29,-58.703,
8.86,-50,87.292,-22,-28,-58.363,
8.88,-50,86.419,-20,-30,-61.468,
8.9,-50,84.368,-21,-29,-61.079,
8.92,-50,83.486,-20,-30,-62.43,
8.94,-50,82.603,-23,-27,-57.99,
8.96,-50,80.841,-22,-28,-57.712,
8.98,-50,79.665,-24,-26,-54.409,
9,-50,78.781,-24,-26,-53.149,
9.02,-50,77.002,-25,-25,-51.191,
9.04,-50,76.107,-26,-24,-48.965,
9.06,-50,74.914,-26,-24,-48.298,
9.08,-50,73.143,-25,-25,-49.934,
9.1,-50,72.273,-26,-24,-49.201,
9.12,-50,71.419,-28,-22,-45.769,
9.14,-50,69.495,-27,-23,-46.149,
9.16,-50,68.7,-28,-22,-44.906,
9.18,-50,67.921,-29,-21,-42.946,
9.2,-50,66.158,-29,-21,-42.342,
9.22,-50,65.422,-30,-20,-40.69,
9.24,-50,64.696,-31,-19,-38.593,
9.26,-50,63.273,-31,-19,-37.973,
9.28,-50,62.347,-32,-18,-36.35,
9.3,-50,61.665,-30,-20,-39.193,
9.32,-50,60.338,-30,-20,-40.588,
9.34,-50,59.693,-31,-19,-39.604,
9.36,-50,58.854,-31,-19,-39.222,
9.38,-50,57.635,-32,-18,-37.485,
9.4,-50,57.04,-33,-17,-35.206,
9.42,-50,56.451,-33,-17,-34.398,
9.44,-50,55.089,-34,-16,-32.615,
9.46,-50,54.507,-33,-17,-33.701,
9.48,-50,53.925,-33,-17,-34.345,
9.5,-50,52.578,-33,-17,-34.727,
9.52,-50,52.011,-33,-17,-34.953,
9.54,-50,51.454,-35,-15,-31.821,
9.56,-50,50.37,-34,-16,-32.216,
9.58,-50,49.668,-34,-16,-32.517,
9.6,-50,49.148,-35,-15,-31.102,
9.62,-50,48.123,-36,-14,-28.964,
9.64,-50,47.615,-35,-15,-29.843,
9.66,-50,46.941,-35,-15,-30.365,
9.68,-50,45.944,-39,-11,-24.142,
9.7,-50,45.453,-36,-14,-26.592,
9.72,-50,44.969,-36,-14,-27.868,
9.74,-50,43.863,-36,-14,-28.518,
9.76,-50,43.401,-35,-15,-30.471,
9.78,-50,42.947,-36,-14,-29.647,
9.8,-50,41.914,-37,-13,-27.622,
9.82,-50,41.482,-36,-14,-28.424,
9.84,-50,41.056,-37,-13,-27.18,
9.86,-50,40.209,-38,-12,-25.067,
9.88,-50,39.643,-36,-14,-27.547,
9.9,-50,39.217,-37,-13,-27.048,
9.92,-50,38.359,-36,-14,-28.491,
9.94,-50,37.931,-37,-13,-27.468,
9.96,-50,37.364,-36,-14,-28.655,
9.98,-50,36.528,-37,-13,-27.513,
10,-50,36.116,-36,-14,-28.65,
10.02,-50,35.707,-36,-14,-29.124,
10.04,-50,34.755,-38,-12,-26.017,
10.06,-50,34.345,-41,-9,-19.821,
10.08,-50,33.931,-38,-12,-22.308,
10.1,-50,32.956,-37,-13,-25.252,
10.12,-50,32.535,-39,-11,-23.322,
10.14,-50,32.116,-39,-11,-22.548,
10.16,-50,31.293,-38,-12,-23.948,
10.18,-50,30.763,-40,-10,-21.338,
10.2,-50,30.378,-36,-14,-26.839,
10.22,-50,29.64,-37,-13,0,
10.24,-50,29.283,-40,-10,0,
10.26,-50,28.93,-40,-10,0,
10.28,-50,28.12,-40,-10,0,
