time,reference,position,measured_distance,error,velocity_control
6.68,-50,82.046,-117,0,0,
6.7,-50,87.618,-110,0,0,
6.72,-50,90.349,-109,0,0,
6.74,-50,96.488,-104,0,0,
6.76,-50,98.997,-96,0,0,
6.78,-50,103.76,-95,0,0,
6.8,-50,106.73,-88,0,0,
6.82,-50,110.87,-87,0,0,
6.84,-50,112.79,-83,0,0,
6.86,-50,116.88,-83,0,0,
6.88,-50,118.46,-80,0,0,
6.9,-50,121.34,-77,0,0,
6.92,-50,122.64,-75,0,0,
6.94,-50,125.36,-72,0,0,
6.96,-50,126.41,-71,0,0,
6.98,-50,128.35,-67,0,0,
7,-50,129.54,-70,0,0,
7.02,-50,131.19,-67,0,0,
7.04,-50,131.96,-65,0,0,
7.06,-50,133.59,-64,0,0,
7.08,-50,134.23,-62,0,0,
7.1,-50,135.41,-61,0,0,
7.12,-50,135.95,-61,0,0,
7.14,-50,137.12,-62,0,0,
7.16,-50,137.59,-61,0,0,
7.18,-50,138.45,-59,0,0,
7.2,-50,138.97,-60,0,0,
7.22,-50,139.68,-56,0,0,
7.24,-50,140.02,-57,0,0,
7.26,-50,140.75,-55,0,0,
7.28,-50,141.05,-57,0,0,
7.3,-50,141.63,-54,0,0,
7.32,-50,141.91,-54,0,0,
7.34,-50,142.5,-54,0,0,
7.36,-50,142.72,-56,0,0,
7.38,-50,143.12,-55,0,0,
7.4,-50,143.36,-52,0,0,
7.42,-50,143.66,-52,0,0,
7.44,-50,143.8,-53,0,0,
7.46,-50,144.1,-52,0,0,
7.48,-50,144.22,-52,0,0,
7.5,-50,144.46,-51,0,0,
7.52,-50,144.57,-49,0,0,
7.54,-50,144.79,-49,0,0,
7.56,-50,144.87,-45,0,0,
7.58,-50,144.94,-40,0,0,
7.6,-50,145.07,-36,0,0,
7.62,-50,145.11,-32,0,0,
7.64,-50,145.13,-27,0,0,
7.66,-50,145.09,-22,0,0,
7.68,-50,144.99,-17,0,0,
7.7,-50,144.86,-8,0,0,
7.72,-50,144.39,-3,0,0,
7.74,-50,144.03,-4,0,0,
7.76,-50,143.41,-3,0,0,
7.78,-50,142.11,-2,0,0,
7.8,-50,141.29,-4,0,0,
7.82,-50,140.34,-3,0,0,
7.84,-50,137.67,-4,0,0,
7.86,-50,136.35,-4,0,0,
7.88,-50,134.94,-7,0,0,
7.9,-50,131.41,-9,0,0,
7.92,-50,129.85,-11,0,0,
7.94,-50,128.28,-14,0,0,
7.96,-50,125.17,-17,0,0,
7.98,-50,123.15,-20,0,0,
8,-50,121.67,-23,0,0,
8.02,-50,118.83,-23,0,0,
8.04,-50,117.48,-28,0,0,
8.06,-50,115.76,-31,0,0,
8.08,-50,113.39,-31,0,0,
8.1,-50,112.31,-33,0,0,
8.12,-50,111.29,-33,0,0,
